"","attributes(casen_2015)$variable.labels"
"hh_d_habitab","Hogar carente en Habitabilidad"
"hh_d_hacina","        Hogar carente en Hacinamiento"
"hh_d_estado","        Hogar carente en Estado de la vivienda"
"hh_d_servbas","Hogar carente en Servicios básicos"
"hh_d_entorno","Hogar carente en Entorno"
"hh_d_accesi","        Hogar carente en Accesibilidad"
"hh_d_medio","        Hogar carente en Medio ambiente"
"hh_d_appart","Hogar carente en Apoyo y participación social"
"hh_d_tsocial","Hogar carente en Trato igualitario"
"hh_d_seg","Hogar carente en Seguridad"
"pobreza_multi_4d","Situación de pobreza multidimensional (4 Dimensiones)"
"pobreza_multi_5d","Situación de pobreza multidimensional con Entorno y Redes  (5 Dimensiones)"
